item_idx,embedding_norm,degree,degree_group
730,1.9802479,1.0,low
731,1.1491303,43.0,medium
732,1.6453257,3.0,low
733,1.867774,2.0,low
734,1.3993385,20.0,medium
735,0.68015575,17.0,medium
736,0.81276846,18.0,medium
737,2.0369437,97.0,medium
738,1.041462,15.0,medium
739,2.4190254,299.0,high
740,1.3856915,8.0,low
741,0.9792348,36.0,medium
742,1.5786332,45.0,medium
743,1.7146449,111.0,medium
744,2.8415651,359.0,high
745,1.2463326,17.0,medium
746,1.7135385,9.0,low
747,1.3865119,12.0,medium
748,1.756798,32.0,medium
749,1.5007759,4.0,low
750,1.3504043,25.0,medium
751,1.479391,81.0,medium
752,1.7317328,99.0,medium
753,1.4442205,16.0,medium
754,1.408511,62.0,medium
755,2.2226326,246.0,high
756,1.4415481,2.0,low
757,1.6435792,5.0,low
758,4.37329,1967.0,high
759,0.94245094,6.0,low
760,1.9461033,152.0,medium
761,1.0624121,18.0,medium
762,1.5789894,5.0,low
763,1.7151468,7.0,low
764,2.6296506,390.0,high
765,1.9254452,4.0,low
766,0.61560225,15.0,medium
767,1.2332209,8.0,low
768,1.4482266,3.0,low
769,1.191005,24.0,medium
770,1.0382881,6.0,low
771,1.3800906,10.0,medium
772,1.9894108,1.0,low
773,1.6182027,64.0,medium
774,1.1335028,38.0,medium
775,1.7971523,18.0,medium
776,0.8129304,15.0,medium
777,1.0335383,10.0,medium
778,1.8464196,27.0,medium
779,1.9479915,1.0,low
780,1.4751832,9.0,low
781,1.7829916,34.0,medium
782,1.6907293,101.0,medium
783,1.0834602,44.0,medium
784,1.5104724,27.0,medium
785,1.5803512,61.0,medium
786,3.1851501,495.0,high
787,3.2404864,609.0,high
788,2.4492931,225.0,medium
789,1.7973254,101.0,medium
790,2.7057893,468.0,high
791,3.2138197,753.0,high
792,3.5833392,947.0,high
793,2.828854,312.0,high
794,2.0131962,144.0,medium
795,2.1044583,76.0,medium
796,3.6519554,1156.0,high
797,2.6035476,332.0,high
798,3.3264978,693.0,high
799,2.5068338,248.0,high
800,4.0253115,1413.0,high
801,3.557815,908.0,high
802,3.1350389,495.0,high
803,2.3137298,265.0,high
804,2.7371483,342.0,high
805,1.4790466,49.0,medium
806,2.247184,121.0,medium
807,3.7940662,1368.0,high
808,3.275695,803.0,high
809,2.176668,213.0,medium
810,3.04982,411.0,high
811,3.5643399,933.0,high
812,3.8630214,1249.0,high
813,1.3960893,5.0,low
814,2.7327125,334.0,high
815,1.6577293,63.0,medium
816,2.5011559,308.0,high
817,1.6970893,60.0,medium
818,2.827525,384.0,high
819,1.9882562,141.0,medium
820,2.175925,129.0,medium
821,2.648124,337.0,high
822,1.9982697,173.0,medium
823,1.8809056,42.0,medium
824,2.0303178,104.0,medium
825,1.4718493,28.0,medium
826,2.0396965,111.0,medium
827,1.5266104,4.0,low
828,2.2223828,283.0,high
829,1.4587752,64.0,medium
830,2.535273,229.0,medium
831,2.0697103,125.0,medium
832,1.5980034,66.0,medium
833,2.5375488,206.0,medium
834,1.8400298,109.0,medium
835,2.1837065,150.0,medium
836,1.5921439,84.0,medium
837,2.0980723,154.0,medium
838,2.5141127,244.0,high
839,2.760777,322.0,high
840,2.1364522,152.0,medium
841,2.819338,590.0,high
842,2.4666123,316.0,high
843,2.643367,318.0,high
844,1.5379066,20.0,medium
845,0.80489326,17.0,medium
846,1.7146492,6.0,low
847,1.5416964,37.0,medium
848,1.1331239,10.0,medium
849,0.85010517,15.0,medium
850,1.1195043,7.0,low
851,0.9132234,29.0,medium
852,1.3331728,21.0,medium
853,2.2367518,195.0,medium
854,1.3094549,5.0,low
855,1.5053955,8.0,low
856,2.958321,417.0,high
857,3.6036086,878.0,high
858,1.4799393,18.0,medium
859,2.133063,199.0,medium
860,1.9596747,2.0,low
861,1.6981568,58.0,medium
862,1.2386757,11.0,medium
863,1.1548833,33.0,medium
864,1.7741424,70.0,medium
865,1.6751871,2.0,low
866,1.9067571,1.0,low
867,1.4601178,52.0,medium
868,0.998127,8.0,low
869,1.8645778,3.0,low
870,1.9193709,138.0,medium
871,1.1169981,9.0,low
872,0.8061853,29.0,medium
873,2.4046247,,
874,1.6240478,9.0,low
875,1.3350995,88.0,medium
876,1.4639732,3.0,low
877,1.7289479,2.0,low
878,2.6864974,353.0,high
879,1.4833571,66.0,medium
880,0.9500674,13.0,medium
881,0.93232244,29.0,medium
882,1.5947154,122.0,medium
883,1.0272521,8.0,low
884,1.448835,6.0,low
885,0.86856574,31.0,medium
886,1.5313524,25.0,medium
887,1.9659922,23.0,medium
888,0.7695554,22.0,medium
889,1.4545006,64.0,medium
890,1.3645741,39.0,medium
891,1.6685385,109.0,medium
892,1.7013853,100.0,medium
893,1.2316613,23.0,medium
894,2.0180936,189.0,medium
895,1.6665928,136.0,medium
896,1.6988572,63.0,medium
897,1.8158568,113.0,medium
898,1.4963565,57.0,medium
899,2.0032089,154.0,medium
900,1.5221931,52.0,medium
901,2.6827278,342.0,high
902,2.0744426,154.0,medium
903,1.8901687,63.0,medium
904,2.7259607,364.0,high
905,1.9562957,165.0,medium
906,1.3939466,47.0,medium
907,1.9874307,159.0,medium
908,1.458784,5.0,low
909,1.8129102,133.0,medium
910,3.2481854,676.0,high
911,2.4710948,336.0,high
912,1.7910028,106.0,medium
913,1.8734435,162.0,medium
914,2.4097672,314.0,high
915,2.0020268,136.0,medium
916,1.5985711,99.0,medium
917,2.8465886,592.0,high
918,3.85869,1312.0,high
919,1.9925783,133.0,medium
920,1.3964623,4.0,low
921,2.0882933,2.0,low
922,1.56733,2.0,low
923,3.0144029,353.0,high
924,2.314796,265.0,high
925,1.3582609,31.0,medium
926,0.7656806,15.0,medium
927,1.4757042,69.0,medium
928,2.1916773,231.0,medium
929,2.1563416,206.0,medium
930,1.6394329,103.0,medium
931,1.4706397,51.0,medium
932,0.82770306,11.0,medium
933,1.2214093,44.0,medium
934,1.5216335,4.0,low
935,1.1919839,28.0,medium
936,1.8416601,152.0,medium
937,1.4517609,5.0,low
938,2.153188,236.0,medium
939,2.9829555,555.0,high
940,2.1668894,212.0,medium
941,1.0544798,11.0,medium
942,1.3022317,52.0,medium
943,2.0248322,142.0,medium
944,1.6222558,14.0,medium
945,1.5659735,22.0,medium
946,2.070156,80.0,medium
947,1.4889097,2.0,low
948,3.1237519,860.0,high
949,1.2382555,16.0,medium
950,2.8167021,557.0,high
951,2.191011,256.0,high
952,3.25502,973.0,high
953,2.8842306,681.0,high
954,2.2691762,239.0,medium
955,1.5186574,95.0,medium
956,1.6850084,86.0,medium
957,2.913232,528.0,high
