user_idx,embedding_norm,degree,degree_group
821,2.096803,176.0,high
822,1.8768101,86.0,medium
823,2.1689625,174.0,high
824,1.831611,20.0,low
825,1.706172,14.0,low
826,1.5783682,14.0,low
827,1.8642145,55.0,medium
828,2.056318,112.0,medium
829,1.937883,88.0,medium
830,1.7278404,49.0,medium
831,1.9841721,119.0,medium
832,1.3980541,14.0,low
833,1.7474935,37.0,medium
834,1.4632653,5.0,low
835,1.7880383,17.0,low
836,1.7412821,22.0,medium
837,1.9825246,132.0,medium
838,2.31054,602.0,high
839,1.9187044,206.0,high
840,1.4619303,10.0,low
841,1.7526654,22.0,medium
842,1.7226835,98.0,medium
843,1.6061649,42.0,medium
844,1.9773191,36.0,medium
845,1.7002791,178.0,high
846,1.8678802,29.0,medium
847,1.9238017,45.0,medium
848,1.7795517,40.0,medium
849,2.007484,317.0,high
850,1.789598,42.0,medium
851,2.0834284,25.0,medium
852,2.1568677,85.0,medium
853,2.0395608,155.0,high
854,2.2860086,309.0,high
855,1.6779796,24.0,medium
856,2.1195524,55.0,medium
857,1.8825582,142.0,medium
858,1.9450861,75.0,medium
859,1.7016922,17.0,low
860,1.9879886,53.0,medium
861,1.9437273,68.0,medium
862,1.609228,51.0,medium
863,1.8077148,99.0,medium
864,1.327061,26.0,medium
865,1.6249503,15.0,low
866,1.4585937,23.0,medium
867,2.2995117,40.0,medium
868,2.361851,484.0,high
869,1.4475636,18.0,low
870,1.606667,28.0,medium
871,1.8080183,60.0,medium
872,1.9418218,134.0,medium
873,1.454172,17.0,low
874,1.6793935,62.0,medium
875,2.0111902,75.0,medium
876,2.467842,281.0,high
877,1.9808027,36.0,medium
878,1.6407295,28.0,medium
879,1.5624024,58.0,medium
880,1.7054536,283.0,high
881,2.086279,61.0,medium
882,1.5327525,19.0,low
883,1.7033472,66.0,medium
884,1.3981099,53.0,medium
885,1.7730744,18.0,low
886,1.7623903,45.0,medium
887,1.6928867,46.0,medium
888,2.2001386,362.0,high
889,2.344736,167.0,high
890,1.9123657,138.0,medium
891,1.6196729,21.0,low
892,1.844653,35.0,medium
893,1.8051535,61.0,medium
894,1.6652701,47.0,medium
895,1.8513516,43.0,medium
896,2.152575,125.0,medium
897,1.4312319,19.0,low
898,2.3978634,171.0,high
899,1.4168745,12.0,low
900,1.2497588,17.0,low
901,1.4195718,18.0,low
902,1.4533693,32.0,medium
903,1.8335503,113.0,medium
904,1.9053028,79.0,medium
905,1.2458049,10.0,low
906,1.5625885,18.0,low
907,1.7465693,17.0,low
908,1.8393183,43.0,medium
909,1.4398373,97.0,medium
910,2.2195718,382.0,high
911,1.7358034,22.0,medium
912,1.7651151,21.0,low
913,1.7294973,50.0,medium
914,1.4965341,16.0,low
915,1.8560028,41.0,medium
916,1.4767549,19.0,low
917,2.000976,43.0,medium
918,1.8887854,247.0,high
919,1.9067774,36.0,medium
920,2.1806383,96.0,medium
921,1.9386802,211.0,high
922,1.6782084,24.0,medium
923,1.9306945,174.0,high
924,1.8337772,25.0,medium
925,1.9064348,91.0,medium
926,1.8582766,70.0,medium
927,2.254177,177.0,high
928,2.3786972,230.0,high
929,1.492694,31.0,medium
930,2.429437,113.0,medium
931,1.2865281,15.0,low
932,1.487168,36.0,medium
933,2.0600953,148.0,high
934,1.5386374,192.0,high
935,1.698227,45.0,medium
936,1.9766852,247.0,high
937,1.7028209,20.0,low
938,1.79249,101.0,medium
939,2.1335747,58.0,medium
940,0.8201847,4.0,low
941,1.7032229,18.0,low
942,1.8992923,65.0,medium
943,1.6907265,29.0,medium
944,1.9778651,95.0,medium
945,1.4300843,23.0,medium
946,1.4343051,7.0,low
947,2.1509295,321.0,high
948,2.638698,243.0,high
949,1.4306014,14.0,low
950,1.5742221,16.0,low
951,2.3759227,121.0,medium
952,1.8592212,176.0,high
953,1.9134213,84.0,medium
954,2.1257007,190.0,high
955,1.7605585,80.0,medium
956,2.3283072,283.0,high
957,2.0066826,113.0,medium
958,1.8604635,62.0,medium
959,1.8412378,92.0,medium
960,1.815724,30.0,medium
